"Willy Loman, for example",salesman
Pay a follow-up visit to Turn Your Head and Coif (wordplay),Redo
Overhaul the plant,retool
"Has the big bird got a soul, or is it just copying (wordplay)",emulous
"Gum resin, like myrrh. ",bdellium
Began nodding off,drowsed
Arachnid's snare,web
Strict moralist,puritan
Chin also remodelled for this man,Nicholas
Itching palm,avarice
Prefix with lingual or lateral,uni
Clavell's 'Shogun' sequel,taipan
Dotty enough to have got a loan from,touched
Soundtrack to many a lighting up,one love
A rough way in which to get the money out of one,in exact
Sounds as if the girl is worried about being a donor,misgiving
Distance between two points in time or place,span
'12 Madonna album,mdna
Decanter fill,wine
Belgian moppets? ,Brussels sprouts
"Nick's wife, in whodunits",nor a
Number with first-class ways to travel for landowners,lairds
Tests the waters,wades
TV role for Sharon Gless ,Rosie
Milo who played a Supreme Court Chief Justice on The West Wing,oshea
Between bee and dee,cee
Ran fake bad debts service for hotel,Bedand breakfast
Said like Mr. Ed,neighed
Pull out of the match (wordplay),scratch
"Performed, as a tune",sung
Hanged Biblical prince,Haman
Benchmarks of a sort,pars
Diviner,oracle
Polymer ending,as e
It's made from the seed of the cacao tree,cocoa
Tit for tat through chink in defence,in kind
The Toronto Argonauts have won it 15 times,GCU P
First-floor apartment ,onee
Neglected.,out in the cold
Affidavit taker,notary
Worker in a laundry.,Mangler
"Angel dust, initially",pcp
Hard measure creates uproar,hell
Beyond wee,Teenier
Ready; lively,y are
Embarrasing mistake,Gaffe
Bill's left-handed friend Ted,keanureeves
The War of the Worlds baddie,martian
US painter John,sloan
The way to do wrong with you during no V all over the place,overrun
N.Y.C. hotel of yesteryear,as tor
Ancient name of the Saone,arar
Like some heart-pumping workouts,aerobic
A Wellington or Napoleon,boot
Take a day off. ,rest
Banking feature in real estate,escrow
"Lutzes, e.g",leaps
Ballpark figure ___,or so
See 55-Down,act
Aladdin's pet monkey,abu
Pop duo with the album 'Swamp Ophelia',indigo girls
"Waited for the signal, say",idled
A bishop with lust maybe grabbing book ___ may no evil ensue!,absitomen
Saigon money. ,piastre
Not the top of the bill in a play in a play (wordplay),bottom
Old country people by outskirts of Tamworth,thrace
Use antifreeze,de ice
Repair,refix
"Pigtail, for example",tress
Judah's son,on an
___ mean a lot to me... ,ITD
F.D.R.'s Interior Sec. ,ickes
Has taken in artist and son for Harry,harass
"She plays Carmela on ""The Sopranos""",Edie
Monographs.,papers
Upright. ,erect
Outlines,silhouettes
List preceders,colons
Alphabet for the military,Alfa Code
Changes the decor of,redoes
It can become dog-eared,page
Conger or moray ,eel
"Will Jennifer Anniston ever find Mr. Right?, for example",burning question
Name in electronics,rca
Uplift,raise
Spiteful,vindictive
Bluesy nightclub (wordplay),funkhouse
Turret topper,capstone
Cosmonaut's home until 2001,mir
Like eggs in an Easter hunt,hidden
Ancient Macedonian capital ,Pella
Animal which feeds on refuse,scavenger
Take for ___.,aride
Onstage gesture ,business
Process involving yeast,fermentation
Meat hybrid,Beefalo
Hobbies,interests
Zeus's capital (wordplay),ZETA
Activity for many a senior,job hunt
As if!,fatchance of that
Inner circle curving inward around line,conclave
Make gaseous,aerify
Tabloid subject,Idol
Throw out. ,extrude
Saint ___ (Florida county),Lucie
Expression of delight,Ooh
Ox-drawn vehicle,cart
Little Indian number,ten
Errors,miscalculations
Political house-cleaning,purge
It's worth it when one yaps like this,pays
Anther location,stamen
1897 novel subtitled 'A Grotesque Romance',the invisible man
Old-time street show,raree
Thin fish,gar s
"A half dozen eggs, per favore (wordplay)",seiplease
Singular chap ,oner
123-Across event,fireworks display
Wayne Newton hit,more
Eager to arm German leader with expression of surprise,Gung Ho
Confuse,flummox
Karate expert's wear,black belt
Piano and strings.,quartet
It rusted to become debris,detritus
Dieting debate (wordplay),weighty argument
Mates of mas,pas
Uncooperative ones,antis
Fibs,tells alie
Some arithmetic,totting
State of the wealthy,plutocracy
'Permit Me Voyage' author James,Agee
"Machine producing power when water drives a rotor, for example",turbine
"""Pass""",NAW
"Author of 'Moll Flanders', say",trollope
Nourished ,fed
Large boats Abbreviation ,strs
Ominous & expensive engine sound,knocking
Point across college to Lily's relative,tulip
The Absinthe Drinker painter,manet
Various aspects,facets
Instrumentalist - type of swan,trumpeter
Arranged like wheel spokes,radial
"Drink booked with 1 across 23, roughly speaking (wordplay)",tequila
As much as necessary,enough
Bum wrap (wordplay),diaper
On one's own. ,lone
Ill-tempered person,cross patch
On a deck beneath,a low
Unites ,pairs
Slo- ___ (kind of fuse),blo
Salacious,bawdy
Protect as a seedling,shade
Three-minute-egg aid ,time r
Happen to find terrapins at sea,transpire
Southern bread ,pone
"Image, picture",icon
"Bourbon and Beale, notably abbreviation",sts
Author of Who Killed Society,amory
Player in hypothetical bridge game.,east
One-time White House canine. ,Fala
Former Saints tackle Alan,kline
Steal from new delis,sidle
Providers of high intelligence (wordplay),spy planes
Mt. statistic,elev
4 dn 17 dn,north
Place in crusade (wordplay),usa
"Dictionary notation for ""enow"" or ""erst""",archaic
Stopped talking to old nomadic sort at golf union party,hung up
Let's see ...,HMM
Inspire ennui,Bore
Waiter or tennis player who puts ball into play,server
Million or billion ending,aire
'... truth is always strange; / Stranger than fiction' poet,Byron
Like undercooked eggs,runny
"Co-op bars Reg, with eye roving - bit of a tart there (wordplay)",Capegoose Berry
Island ,a toll
The Secret Life of Walter,Mitty
"Alice's cat in ""Through the Looking-Glass""",dinah
Mollusk,snail
Patterned flooring,Parquet
"Shakespeare play, with ""The"" ",winter stale
Benjamin Franklin invented one. ,Harmonica
Oleoresin,Elemi
Propelling a boat with oars,rowing
Dessert choice,Lemon Meringuepie
"He portrayed Grant in ""Lou Grant""",a sner
Head for the hills,run
"Teen Titans and ""Teen Titans Go!"" voice actress Strong",tara
Doubly disgusting (wordplay),Rankand Vile
Disaccustom gradually,wean
D.C. baseballer,nat
Arty Big Apple neighborhood,Soho
Answer to 'Paris est-il la capitale de la France?',oui
Pronoun in Italian or Spanish,ella
Witch who traveled to Munchkinland by bubble,glinda
"Shortest step, for short",a tob
"Subject of three Oliver Stone films, informally",NAM
Unexpectedly. ,all of a sudden
Shift eg,dress
Melt choice,tuna
Venus or Vega.,star
Nice seasons ,etes
"My girly, just try what a despotism is like",tyranny
"J. M. Barrie's Mr. Smee, for example",Bosn
Coward and others. ,noels
Guest of Nehru.,Grand Lama
Fish market need,ice
Manzanillo man,cuban
Confederate general Jubal ,early
Unembellished,bare bones
Sales tag on damaged goods,as is
PGA season money leader,snead
Pseudo-titular character on NBC's superpower-laden series,Hiro
Water inhabitant,fish
Sounded contented.,purred
Some projector inserts,slides
Keats' forte.,ode
Maybe manana ,an on
"""Great ___ from little . . . "" ",oaks
Where Libertyville is.,Illinois
North of Sixty star Tom,Jackson
Hushing up a beating,hiding
Popular maker of briefs,hanes
Wolfe. ,nero
In Germany I follow your old science in the study of fish,ichthyology
"Single, for example",hit
Baby formula,similac
"Enterprise, for one",starship
Spiritual energy,aura
Capital of French Moroccompany ,rabat
"Mushroom grower, for short (wordplay)",at est
They can afford middle-of-the-road accident protection,traffic islands
PD reports,a pbs
Hurt,Smart
Severe fire in plant close to Cairo,in ferno
Subgenre of punk,emo
Child's collection,recipes
Nero's 451,cdli
Swine's whines,oinks
Fighter pilots emergency button,eject
Highly skilled folks,adepts
"Dali's ""___ of Memory"" ",persistence
Long-haired domestic cat,Angora
"PM, heading for transvestism, quietly during dance put on dress",Robert Peel
Source of some PBS programs,BBC
"Plane sight, occasionaly",in use
Madhouse,asylum
Storm preceders (wordplay),calms
Curly-haired lap dogs,Toy Poodles
Report card (wordplay),grade notes
What a defect might prompt,recall
Rooters ,urgers
British singing sensation Susan,boyle
"No, it turns after people for such a reference",mention
One with a beat (wordplay),cop
Bond's car starter (wordplay),Aston
ICU part,care
High priest's garment,ephod
Eckhart  bestselling author of The Power of Now,tolle
Sweetie pie ,hon
Deep-sea denizen ,lanternfish
"Although not all there, I can pass on what knowledge I have",impart
Paint stains,blobs
"Diamonds, so to speak",ice
Do better than a certain villain done for tax evasion,capone
Sciences' companions ,arts
India's currency,rupee
By and large a couple of lines repeated about having arrived,all in all
"Blocked, closed off",occluded
Must be just made impure,umpire
Run round a lot as a nomad,romany
Bilbos sword,sting
Victor buyer of '29,rca
Shortly to have a rest with this,etc
Routine at home,habitat
'The Muppet Show' eagle,sam
Poet's liberty,artistic license
In advance,early
Felix's sitcom buddy,Oscar
Certain roofer.,slater
Cease the zs,a wake
How did the Wizard project his image? and others (wordplay),oz questions
Burns' refusal,nae
"Prepare for pouring, possibly",UNCAP
Quartet member. ,bass
"It is ""sufficient unto the day.""",evil
Sugar substitute,equal
'Macbeth' or 'Otello',opera
Vehicle. ,car
Best pal in a 1950s sitcom,Ed Norton
Sought after you in the middle of the tree,popular
Donating to good causes,philanthropic
Accountant,auditor
Reacted derisively,hooted
Still waters do it,run deep
Churchman ,cleric
"White, cold coat",snow
Come into American HQ avoiding the front entrance,enter
Lockout,therape of the
Sharp-edged tools.,reamers
Mr. Cole,nat
Given an incorrect name,miscalled
Icy overnight deposit,Ground Frost
Despite circumstances,regardless
Lille lasses abbreviation,mlles
Swellheads ,egoists
Delivery trucks,vans
Charter ___ of Hartford fame ,oak
Rhythmic,metered
Attempted favorably. ,well tried
TV network ,NBC
Some European women,donas
"And ___ Was, 1985 Talking Heads song",she
Robbers' ___,roost
"To Wong ___,...",foo
___ 51 (Groom Lake),area
'___ a crook',im not
Item for Inness ,easel
"Bad parts, as of a system. ",evils
Singer song writer Paul,simon
Insurance for theatrical feats spanning river (wordplay),safety net
Label attached to the back of this animal,stag
"A fellow who wins pounds, though just a novice",learner
An easy job. ,snap
Wield cross held in upturned palm perhaps,exert
Beat badly,thrashed
Completely finished,over and done with
Pampering abbreviation,TLC
Historic city on the Black Sea,Yalta
Material from elephant's tusks,ivory
Got off the Web,downloaded
Clement who spoke at the first general assembly of the United Nations,Attlee
"Paper money, sometimes",scrip
"Is old, old tennis player (about a hundred) descriptive of some figure (wordplay)",isosceles
God whose chariot was pulled by the goats Tanngrisnir and Tanngnjostr,thor
"Angst, if you've 23-Across",dared
Prove to be incorrect,rebut
Musial's nickname ,stanthe man
Rep,AGT
Co-winner with Sadat,begin
Bonze,Lama
Little devil in charge of one small building deprived of necessities (wordplay),impoverished
"Former flier at 55,000 feet",SST
NFC West player,xxxxx
"""You ___ can!""",beti
Silicon  Oil Second Thoughts on the Information Highway,snake
Luckily,fortunately
Thespian Morales,asimov
Like many summer Starbucks drinks,iced
Mechanism with a toothed bar or wheel,ratchet
Legends of travel,a curas
"""A nice hint!""",aha
Round and round around tea,ragout
Novel of 1891. ,tess of the durbervilles
Salad vegetable. ,celery
Bespoke,made to measure
Ebenezer's creator,Charles
SEALs' group,US Navy
Where to find life lines,palms
YA fantasy hero who combats Number1,Artemis Fowl
A female tennis great,as he
Gene letters ,RNA
Tattoo ___,parlor
Mountain separators,valleys
"""Reversal of Fortune"" Oscar winner",irons
Ready for adventure. ,footlooseandfancyfree
Emulating a goat,bleating
Sister's attire,habit
Fruit to squeeze (wordplay),squash
"Decent message about drones, I gathered",considerable
Big crowds,throngs
Stand-up comic Dennis,leary
Heartache. ,woe
Aquarius and Aries,signs
"Hi and Lois's neighbor, in comics",Irma
Rebel Without a Cause costar Sal,mineo
Sight for very poor eyes,blob
Tangling,ensnarling
We were literally ___! (I didn't know they were numbered!),oncloud nine
Dim ending,wit
Livestock land,range
A little crow comes from this,Bantam
Part of PST,std
Bluedress wearer,Devil
"Cause of a rapid heartbeat, perhaps",fear
Chequebook stub,counterfoil
A Dionne.,oliva
Discourage (an activity),deter
Large meal supplied before cutting down,spread
"Lake Como ""evening""",sera
"She might minister to one, but not universally",priestess
Heroine of a 1931 song,marta
Smokes Colloq. ,cigs
Health advocacy org,a ma
Fashion designers asset,style
Hulu choice,show
Haynes and Simpson,homers
Dessert for a dieter,pear
Broadcasting devices,seeders
Stable area,paddock
"Property purchases, for example",capitalexpenditures
"The War of the Worlds broadcast, notably",hoax
"Making a record, say",noting
Quick to take offense,touchy
Clothing society suffering legal action,shell suit
Coin of Turkey. ,Lira
Gaiety,merriment
Bureaucrat will be protected by them ___ and a ringleader,mandarin
Drug safety test,clinical trial
Cohort of Luciano and Placido,Jose
Going all out ,putting on the dog
'Cast off' order (wordplay),exeunt
Coffee beverage,mocha
"Minority votes, often",nays
Pointed front of a two-wheeler (wordplay),bikes beak
"Friendly wife, member",warm
"Only a ___ deals in absolutes (""Star Wars"" quote)",sith
Beast which preys on another,predator
That ___ close!,was
Part 3 of the point to ponder,thing before
Hair colourant,rinse
"Fear is the path to it, says Yoda",dark side
Chew like a rat,gnaw
Bloomer in parking - auntie crashed,Petunia
Active again,up and around
Secreters of the Dead Sea Scrolls.,es senes
"Nobel Peace Prize co-winner, 1946.",Mott
Inner self ,anima
Keep going with the flow (wordplay),sand castle
Choreographer-director Tommy ___,tune
Gawker,starer
Refresh the inner man,eat
Hunk of cake ,slab
Having roof extensions,eaved
Sleep: pref.,somni
Miners who are close to retirement (wordplay),old diggers
Service work (wordplay),army installation
Communication form that has dealt a blow to the stationery industry,email
Regarding as likely to happen,expecting
Small pies,tartlets
Full to the top.,abrim
Kick Out of You,igeta
Glass designer Lalique,Rene
Hand lotion brand,curel
Bond's shaken but still in bed (wordplay),unstirred
